Brand,Model,Color,Fuel,Kilometers,Trasmission,Price,Gov,Car Age,Kilometers Group
3.0,100.0,0.0,0.0,25.0,0.0,380.0,47.0,22.0,25.0
4.0,155.0,14.0,0.0,13.0,0.0,480.0,19.0,8.0,10.0
1.0,571.0,15.0,0.0,5.0,0.0,460.0,19.0,1.0,5.0
5.0,488.0,0.0,0.0,16.0,0.0,295.0,8.0,14.0,15.0
6.0,300.0,16.0,0.0,30.0,0.0,580.0,75.0,19.0,30.0
4.0,155.0,1.0,0.0,19.0,0.0,290.0,30.0,15.0,15.0
5.0,487.0,1.0,0.0,12.0,0.0,470.0,19.0,5.0,10.0
7.0,244.0,1.0,0.0,15.0,0.0,295.0,1.0,14.0,15.0
8.0,104.0,1.0,0.0,5.0,0.0,630.0,1.0,4.0,5.0
9.0,702.0,17.0,0.0,5.0,0.0,399.0,5.0,2.0,5.0
8.0,87.0,5.0,0.0,5.0,0.0,550.0,32.0,2.0,5.0
10.0,8.0,4.0,0.0,12.0,2.0,60.0,49.0,26.0,10.0
11.0,355.0,9.0,0.0,24.0,2.0,45.0,8.0,28.0,20.0
8.0,104.0,2.0,0.0,0.0,0.0,855.0,32.0,1.0,0.0
12.0,732.0,9.0,0.0,0.0,0.0,900.0,19.0,2.0,0.0
0.0,322.0,0.0,0.0,14.0,0.0,450.0,8.0,8.0,10.0
10.0,69.0,15.0,0.0,0.0,2.0,75.0,1.0,26.0,0.0
12.0,728.0,1.0,0.0,3.0,0.0,490.0,15.0,3.0,0.0
13.0,568.0,18.0,0.0,9.0,2.0,40.0,19.0,21.0,5.0
6.0,165.0,1.0,0.0,17.0,0.0,380.0,8.0,16.0,15.0
14.0,228.0,1.0,0.0,40.0,2.0,370.0,19.0,12.0,40.0
15.0,561.0,0.0,0.0,26.0,0.0,136.0,30.0,22.0,25.0
1.0,273.0,0.0,0.0,24.0,0.0,330.0,49.0,13.0,20.0
2.0,601.0,0.0,0.0,17.0,2.0,130.0,22.0,14.0,15.0
16.0,474.0,9.0,0.0,15.0,0.0,105.0,47.0,22.0,15.0
17.0,17.0,9.0,0.0,0.0,2.0,45.0,6.0,29.0,0.0
0.0,269.0,9.0,0.0,8.0,0.0,670.0,22.0,7.0,5.0
8.0,87.0,19.0,0.0,3.0,0.0,460.0,78.0,2.0,0.0
18.0,135.0,0.0,0.0,15.0,2.0,125.0,62.0,16.0,15.0
1.0,692.0,5.0,0.0,20.0,2.0,138.0,10.0,11.0,20.0
8.0,104.0,0.0,0.0,1.0,0.0,620.0,19.0,1.0,0.0
0.0,326.0,20.0,0.0,4.0,0.0,395.0,89.0,2.0,0.0
14.0,696.0,21.0,0.0,0.0,0.0,1750.0,75.0,0.0,0.0
1.0,709.0,5.0,1.0,0.0,2.0,310.0,18.0,11.0,0.0
0.0,327.0,1.0,0.0,13.0,0.0,540.0,46.0,7.0,10.0
9.0,613.0,22.0,0.0,13.0,0.0,700.0,75.0,4.0,10.0
19.0,174.0,19.0,0.0,10.0,2.0,18.0,19.0,59.0,10.0
18.0,331.0,5.0,0.0,9.0,0.0,220.0,92.0,4.0,5.0
9.0,613.0,5.0,0.0,10.0,0.0,450.0,1.0,9.0,10.0
9.0,702.0,0.0,0.0,15.0,0.0,335.0,46.0,4.0,15.0
4.0,155.0,11.0,0.0,15.0,0.0,420.0,27.0,10.0,15.0
14.0,590.0,16.0,0.0,8.0,2.0,220.0,73.0,15.0,5.0
9.0,702.0,11.0,0.0,12.0,0.0,360.0,16.0,3.0,10.0
20.0,453.0,0.0,0.0,1.0,0.0,625.0,62.0,1.0,0.0
21.0,459.0,17.0,0.0,9.0,2.0,160.0,19.0,9.0,5.0
2.0,736.0,15.0,0.0,2.0,0.0,650.0,63.0,1.0,0.0
0.0,440.0,1.0,0.0,10.0,0.0,670.0,92.0,8.0,10.0
4.0,544.0,0.0,0.0,3.0,0.0,550.0,19.0,7.0,0.0
17.0,442.0,5.0,0.0,12.0,0.0,700.0,1.0,3.0,10.0
3.0,67.0,1.0,0.0,14.0,0.0,920.0,100.0,7.0,10.0
9.0,702.0,20.0,0.0,0.0,0.0,525.0,102.0,0.0,0.0
5.0,320.0,20.0,0.0,4.0,0.0,800.0,92.0,4.0,0.0
2.0,13.0,9.0,0.0,8.0,2.0,50.0,62.0,24.0,5.0
22.0,706.0,1.0,0.0,0.0,0.0,475.0,46.0,1.0,0.0
23.0,737.0,5.0,0.0,10.0,0.0,540.0,62.0,6.0,10.0
8.0,822.0,0.0,0.0,4.0,0.0,680.0,64.0,1.0,0.0
24.0,259.0,0.0,0.0,18.0,0.0,420.0,74.0,12.0,15.0
5.0,487.0,2.0,0.0,10.0,0.0,509.0,47.0,8.0,10.0
24.0,259.0,9.0,0.0,17.0,0.0,510.0,38.0,10.0,15.0
8.0,87.0,1.0,0.0,4.0,0.0,480.0,72.0,2.0,0.0
5.0,487.0,9.0,0.0,24.0,0.0,450.0,64.0,8.0,20.0
25.0,503.0,0.0,0.0,9.0,0.0,355.0,19.0,4.0,5.0
2.0,601.0,23.0,0.0,20.0,2.0,65.0,2.0,28.0,20.0
9.0,702.0,2.0,0.0,4.0,0.0,349.21,48.0,3.0,0.0
14.0,696.0,9.0,0.0,0.0,0.0,1100.0,51.0,4.0,0.0
26.0,346.0,5.0,0.0,20.0,2.0,190.0,46.0,4.0,20.0
14.0,691.0,13.0,1.0,24.0,0.0,420.0,8.0,13.0,20.0
27.0,798.0,20.0,0.0,5.0,0.0,700.0,105.0,2.0,5.0
9.0,463.0,5.0,0.0,12.0,0.0,375.0,104.0,9.0,10.0
6.0,47.0,6.0,0.0,10.0,2.0,85.0,1.0,46.0,10.0
1.0,163.0,0.0,0.0,20.0,2.0,175.0,8.0,17.0,20.0
12.0,731.0,2.0,0.0,0.0,0.0,900.0,8.0,1.0,0.0
22.0,149.0,5.0,0.0,9.0,2.0,85.0,102.0,15.0,5.0
9.0,463.0,2.0,0.0,15.0,0.0,380.0,97.0,10.0,15.0
1.0,490.0,2.0,0.0,13.0,2.0,198.0,25.0,9.0,10.0
14.0,228.0,22.0,0.0,15.0,0.0,380.0,62.0,11.0,15.0
22.0,774.0,19.0,0.0,9.0,2.0,260.0,19.0,17.0,5.0
28.0,60.0,0.0,0.0,30.0,0.0,300.0,100.0,7.0,30.0
0.0,770.0,0.0,1.0,3.0,2.0,170.0,30.0,13.0,0.0
13.0,417.0,5.0,0.0,19.0,0.0,280.0,61.0,3.0,15.0
18.0,135.0,0.0,0.0,20.0,2.0,140.0,1.0,12.0,20.0
8.0,87.0,0.0,0.0,4.0,0.0,550.0,19.0,2.0,0.0
22.0,705.0,17.0,0.0,5.0,2.0,53.0,5.0,30.0,5.0
2.0,589.0,4.0,0.0,10.0,2.0,70.0,16.0,19.0,10.0
2.0,601.0,2.0,0.0,11.0,2.0,125.0,30.0,20.0,10.0
1.0,273.0,0.0,0.0,13.0,0.0,400.0,8.0,7.0,10.0
0.0,140.0,15.0,0.0,21.0,2.0,120.0,19.0,18.0,20.0
18.0,128.0,1.0,0.0,9.0,2.0,125.0,99.0,12.0,5.0
8.0,87.0,0.0,0.0,7.0,0.0,350.0,72.0,1.0,5.0
17.0,156.0,9.0,0.0,7.0,0.0,1150.0,63.0,3.0,5.0
2.0,13.0,19.0,0.0,0.0,2.0,26.0,105.0,45.0,0.0
1.0,571.0,14.0,0.0,25.0,0.0,310.0,92.0,5.0,25.0
0.0,770.0,22.0,0.0,17.0,0.0,250.0,62.0,7.0,15.0
24.0,259.0,0.0,0.0,3.0,0.0,780.0,50.0,3.0,0.0
2.0,680.0,9.0,0.0,0.0,2.0,85.0,16.0,21.0,0.0
9.0,463.0,21.0,0.0,15.0,0.0,450.0,75.0,11.0,15.0
17.0,156.0,15.0,0.0,3.0,0.0,1400.0,100.0,2.0,0.0
19.0,752.0,1.0,0.0,27.0,0.0,385.0,19.0,14.0,25.0
25.0,361.0,9.0,0.0,9.0,0.0,415.0,99.0,8.0,5.0
2.0,736.0,22.0,0.0,15.0,0.0,500.0,73.0,2.0,15.0
15.0,490.0,17.0,0.0,3.0,2.0,110.0,16.0,23.0,0.0
11.0,638.0,1.0,0.0,14.0,0.0,350.0,92.0,9.0,10.0
4.0,155.0,15.0,0.0,16.0,0.0,280.0,19.0,15.0,15.0
24.0,259.0,1.0,0.0,3.0,0.0,770.0,102.0,3.0,0.0
24.0,259.0,1.0,0.0,21.0,0.0,320.0,32.0,16.0,20.0
1.0,709.0,9.0,1.0,0.0,2.0,580.0,56.0,1.0,0.0
29.0,410.0,2.0,0.0,6.0,0.0,2150.0,72.0,4.0,5.0
11.0,351.0,1.0,0.0,27.0,2.0,140.0,56.0,19.0,25.0
28.0,79.0,5.0,0.0,0.0,2.0,105.0,53.0,25.0,0.0
24.0,259.0,9.0,0.0,18.0,2.0,75.0,64.0,39.0,15.0
22.0,526.0,15.0,0.0,9.0,2.0,105.0,99.0,12.0,5.0
30.0,208.0,1.0,0.0,0.0,0.0,1580.0,1.0,1.0,0.0
1.0,571.0,2.0,0.0,15.0,0.0,405.0,19.0,3.0,15.0
21.0,760.0,6.0,0.0,3.0,0.0,525.0,30.0,5.0,0.0
0.0,327.0,6.0,0.0,5.0,0.0,510.0,105.0,8.0,5.0
18.0,135.0,0.0,0.0,15.0,2.0,115.0,97.0,17.0,15.0
2.0,499.0,9.0,0.0,19.0,2.0,235.0,19.0,7.0,15.0
0.0,340.0,1.0,0.0,0.0,2.0,60.0,19.0,30.0,0.0
0.0,140.0,24.0,0.0,15.0,2.0,135.0,64.0,24.0,15.0
2.0,736.0,22.0,0.0,2.0,0.0,650.0,19.0,1.0,0.0
19.0,403.0,22.0,0.0,0.0,2.0,95.0,6.0,35.0,0.0
12.0,154.0,5.0,0.0,16.0,2.0,320.0,1.0,1.0,15.0
14.0,466.0,2.0,0.0,18.0,0.0,550.0,19.0,9.0,15.0
24.0,259.0,9.0,0.0,3.0,0.0,760.0,66.0,3.0,0.0
8.0,87.0,5.0,0.0,2.0,0.0,550.0,8.0,2.0,0.0
28.0,95.0,6.0,0.0,25.0,2.0,90.0,85.0,40.0,25.0
0.0,160.0,9.0,0.0,9.0,0.0,410.0,0.0,9.0,5.0
28.0,95.0,20.0,0.0,0.0,2.0,155.0,49.0,37.0,0.0
14.0,691.0,2.0,0.0,15.0,0.0,455.0,8.0,12.0,15.0
2.0,736.0,0.0,0.0,6.0,0.0,500.0,30.0,3.0,5.0
25.0,669.0,19.0,0.0,12.0,0.0,395.0,19.0,7.0,10.0
