Brand,Model,Color,Fuel,Kilometers,Trasmission,Price,Gov,Car Age
BMW,525,Black,Benzine,25.0,Automatic,380.0,Heliopolis,22.0
Opel,Astra,Bronze,Benzine,13.0,Automatic,480.0,Cairo,8.0
Chevrolet,Optra,Dark blue,Benzine,5.0,Automatic,460.0,Cairo,1.0
Mitsubishi,Lancer Puma,Black,Benzine,16.0,Automatic,295.0,Alexandria,14.0
Mercedes,E 320,Cyan,Benzine,30.0,Automatic,580.0,Nasr city,19.0
Opel,Astra,Silver,Benzine,19.0,Automatic,290.0,El Haram,15.0
Mitsubishi,Lancer EX Shark,Silver,Benzine,12.0,Automatic,470.0,Cairo,5.0
Honda,City,Silver,Benzine,15.0,Automatic,295.0,6 October,14.0
MG,6,Silver,Benzine,5.0,Automatic,630.0,6 October,4.0
Nissan,Sunny,Dark red,Benzine,5.0,Automatic,399.0,Agamy,2.0
MG,5,Red,Benzine,5.0,Automatic,550.0,El Mahalla,2.0
Mazda,121,Green,Benzine,12.0,Manual,60.0,Hurghada,26.0
Skoda,Felicia,White,Benzine,24.0,Manual,45.0,Alexandria,28.0
MG,6,Gray,Benzine,0.0,Automatic,855.0,El Mahalla,1.0
Chery,Tiggo 8,White,Benzine,0.0,Automatic,900.0,Cairo,2.0
Hyundai,Elantra,Black,Benzine,14.0,Automatic,450.0,Alexandria,8.0
Mazda,323,Dark blue,Benzine,0.0,Manual,75.0,6 October,26.0
Chery,Tiggo 3,Silver,Benzine,3.0,Automatic,490.0,Beheira,3.0
Lada,Oka,Champagne,Benzine,9.0,Manual,40.0,Cairo,21.0
Mercedes,B 150,Silver,Benzine,17.0,Automatic,380.0,Alexandria,16.0
Kia,Carens,Silver,Benzine,40.0,Manual,370.0,Cairo,12.0
Daewoo,Nubira 2,Black,Benzine,26.0,Automatic,136.0,El Haram,22.0
Chevrolet,Cruze,Black,Benzine,24.0,Automatic,330.0,Hurghada,13.0
Fiat,Punto,Black,Benzine,17.0,Manual,130.0,Damietta,14.0
Daihatsu,Kancil,White,Benzine,15.0,Automatic,105.0,Heliopolis,22.0
Seat,133,White,Benzine,0.0,Manual,45.0,Ain Shams,29.0
Hyundai,Creta,White,Benzine,8.0,Automatic,670.0,Damietta,7.0
MG,5,Blue,Benzine,3.0,Automatic,460.0,Obour City,2.0
Speranza,A516,Black,Benzine,15.0,Manual,125.0,Maadi,16.0
Chevrolet,Spark,Red,Benzine,20.0,Manual,138.0,Ashmoun,11.0
MG,6,Black,Benzine,1.0,Automatic,620.0,Cairo,1.0
Hyundai,Elantra HD,Mocha,Benzine,4.0,Automatic,395.0,Saft El Laban,2.0
Kia,Sportage,Petroleum,Benzine,0.0,Automatic,1750.0,Nasr city,0.0
Chevrolet,T-Series,Red,Natural Gas,0.0,Manual,310.0,Borg el arab,11.0
Hyundai,Elantra MD,Silver,Benzine,13.0,Automatic,540.0,Giza,7.0
Nissan,Qashqai,Light grey,Benzine,13.0,Automatic,700.0,Nasr city,4.0
Volkswagen,Beetle,Blue,Benzine,10.0,Manual,18.0,Cairo,59.0
Speranza,Envy,Red,Benzine,9.0,Automatic,220.0,Sheikh Zayed City,4.0
