Brand,Model,Fuel,Car Age,Trasmission,Kilometers Group,Gov,Price,grouping
Alfa Romeo,146,Benzine,25.0,Manual,25.0,Tagamo3 - New Cairo,84.0,Alfa Romeo 146 Benzine Manual 25.0 25.0
Alfa Romeo,146,Benzine,26.0,Manual,0.0,Cairo,55.0,Alfa Romeo 146 Benzine Manual 26.0 0.0
Alfa Romeo,146,Benzine,26.0,Manual,10.0,Helwan,120.0,Alfa Romeo 146 Benzine Manual 26.0 10.0
Alfa Romeo,146,Benzine,27.0,Manual,0.0,Heliopolis,60.0,Alfa Romeo 146 Benzine Manual 27.0 0.0
Alfa Romeo,146,Benzine,27.0,Manual,10.0,Tagamo3 - New Cairo,83.0,Alfa Romeo 146 Benzine Manual 27.0 10.0
Alfa Romeo,146,Benzine,27.0,Manual,20.0,Mohandessin,80.0,Alfa Romeo 146 Benzine Manual 27.0 20.0
Alfa Romeo,156,Benzine,19.0,Automatic,10.0,Alexandria,250.0,Alfa Romeo 156 Benzine Automatic 19.0 10.0
Alfa Romeo,Giulia,Benzine,3.0,Automatic,10.0,Alexandria,1000.0,Alfa Romeo Giulia Benzine Automatic 3.0 10.0
Alfa Romeo,Giulietta,Benzine,8.0,Automatic,15.0,Giza,680.0,Alfa Romeo Giulietta Benzine Automatic 8.0 15.0
Alfa Romeo,Giulietta,Benzine,8.0,Automatic,15.0,Zamalek,820.0,Alfa Romeo Giulietta Benzine Automatic 8.0 15.0
Alfa Romeo,Stelvio,Benzine,5.0,Automatic,10.0,Heliopolis,1200.0,Alfa Romeo Stelvio Benzine Automatic 5.0 10.0
Aston Martin,Rapide S,Benzine,7.0,Automatic,0.0,Heliopolis,4500.0,Aston Martin Rapide S Benzine Automatic 7.0 0.0
Audi,100,Benzine,43.0,Manual,0.0,Rosetta,40.0,Audi 100 Benzine Manual 43.0 0.0
Audi,80,Benzine,28.0,Manual,35.0,Cairo,85.0,Audi 80 Benzine Manual 28.0 35.0
Audi,80,Benzine,31.0,Manual,20.0,Cairo,98.0,Audi 80 Benzine Manual 31.0 20.0
Audi,80,Benzine,31.0,Manual,25.0,Shobra,125.0,Audi 80 Benzine Manual 31.0 25.0
Audi,80,Benzine,42.0,Manual,10.0,Cairo,32.0,Audi 80 Benzine Manual 42.0 10.0
Audi,A1,Benzine,10.0,Automatic,15.0,Tagamo3 - New Cairo,625.0,Audi A1 Benzine Automatic 10.0 15.0
Audi,A3,Benzine,0.0,Automatic,0.0,Tagamo3 - New Cairo,1500.0,Audi A3 Benzine Automatic 0.0 0.0
Audi,A3,Benzine,1.0,Automatic,0.0,Heliopolis,1675.0,Audi A3 Benzine Automatic 1.0 0.0
Audi,A3,Benzine,1.0,Automatic,0.0,Maadi,1750.0,Audi A3 Benzine Automatic 1.0 0.0
Audi,A3,Benzine,1.0,Automatic,0.0,Tagamo3 - New Cairo,1240.0,Audi A3 Benzine Automatic 1.0 0.0
Audi,A3,Benzine,3.0,Automatic,0.0,Cairo,1125.0,Audi A3 Benzine Automatic 3.0 0.0
Audi,A3,Benzine,3.0,Automatic,5.0,6 October,1050.0,Audi A3 Benzine Automatic 3.0 5.0
Audi,A3,Benzine,3.0,Automatic,5.0,Giza,1100.0,Audi A3 Benzine Automatic 3.0 5.0
Audi,A3,Benzine,3.0,Automatic,5.0,Maadi,1100.0,Audi A3 Benzine Automatic 3.0 5.0
Audi,A3,Benzine,4.0,Automatic,5.0,Heliopolis,870.0,Audi A3 Benzine Automatic 4.0 5.0
