Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Chevrolet,Optra,,Dark blue,Benzine,5,2.5,Automatic,460.0,Cairo,1,1
Hyundai,Elantra,,Black,Benzine,14,2.5,Automatic,450.0,Alexandria,1,8
Chevrolet,Cruze,,Black,Benzine,24,2.5,Automatic,330.0,Hurghada,1,13
Fiat,Punto,,Black,Benzine,17,2.5,Manual,130.0,Damietta,1,14
Hyundai,Creta,,White,Benzine,8,2.5,Automatic,670.0,Damietta,1,7
Chevrolet,Spark,,Red,Benzine,20,2.5,Manual,138.0,Ashmoun,1,11
Hyundai,Elantra HD,,Mocha,Benzine,4,2.5,Automatic,395.0,Saft El Laban,1,2
Chevrolet,T-Series,,Red,Natural Gas,0,2.5,Manual,310.0,Borg el arab,1,11
Hyundai,Elantra MD,,Silver,Benzine,13,2.5,Automatic,540.0,Giza,1,7
Fiat,Tipo,,Dark blue,Benzine,2,2.5,Automatic,650.0,Madinaty,1,1
Hyundai,IX 35,,Silver,Benzine,10,2.5,Automatic,670.0,Sheikh Zayed City,1,8
Fiat,128,,White,Benzine,8,2.5,Manual,50.0,Maadi,1,24
Fiat,Punto,,Dark green,Benzine,20,2.5,Manual,65.0,Abu Hummus,1,28
Chevrolet,Aveo,,Black,Benzine,20,2.5,Manual,175.0,Alexandria,1,17
Chevrolet,Lanos,,Gray,Benzine,13,2.5,Manual,198.0,Dyarb Negm,1,9
Hyundai,Verna,,Black,Natural Gas,3,2.5,Manual,170.0,El Haram,1,13
Fiat,Petra,,Green,Benzine,10,2.5,Manual,70.0,Beni Suef,1,19
Fiat,Punto,,Gray,Benzine,11,2.5,Manual,125.0,El Haram,1,20
Chevrolet,Cruze,,Black,Benzine,13,2.5,Automatic,400.0,Alexandria,1,7
Hyundai,Accent,,Dark blue,Benzine,21,2.5,Manual,120.0,Cairo,1,18
Fiat,128,,Blue,Benzine,0,2.5,Manual,26.0,Zagazig,1,45
Chevrolet,Optra,,Bronze,Benzine,25,2.5,Automatic,310.0,Sheikh Zayed City,1,5
Hyundai,Verna,,Light grey,Benzine,17,2.5,Automatic,250.0,Maadi,1,7
Fiat,Shahin,,White,Benzine,0,2.5,Manual,85.0,Beni Suef,1,21
Fiat,Tipo,,Light grey,Benzine,15,2.5,Automatic,500.0,Mokattam,1,2
Chevrolet,T-Series,,White,Natural Gas,0,2.5,Manual,580.0,Kafr el-Sheikh,1,1
Chevrolet,Optra,,Gray,Benzine,15,2.5,Automatic,405.0,Cairo,1,3
Hyundai,Elantra MD,,Gold,Benzine,5,2.5,Automatic,510.0,Zagazig,1,8
Fiat,Linea,,White,Benzine,19,2.5,Manual,235.0,Cairo,1,7
Hyundai,Excel,,Silver,Benzine,0,2.5,Manual,60.0,Cairo,1,30
Hyundai,Accent,,Purple,Benzine,15,2.5,Manual,135.0,Mansoura,1,24
Fiat,Tipo,,Light grey,Benzine,2,2.5,Automatic,650.0,Cairo,1,1
Hyundai,Avante,,White,Benzine,9,2.5,Automatic,410.0,10th of Ramadan,1,9
Fiat,Tipo,,Black,Benzine,6,2.5,Automatic,500.0,El Haram,1,3
Fiat,Tipo,,Silver,Benzine,1,2.5,Automatic,700.0,Damietta,1,2
Hyundai,Verna,,Dark blue,Benzine,20,2.5,Manual,160.0,Cairo,1,12
Hyundai,Accent RB,,Cyan,Natural Gas,18,2.5,Automatic,320.0,Shibin El Qanater,1,11
Hyundai,Elantra HD,,Light grey,Benzine,1,2.5,Automatic,630.0,Cairo,1,1
Chevrolet,Aveo,,Red,Benzine,8,2.5,Automatic,345.0,Nasr city,1,6
Hyundai,Tucson Turbo GDI || Tucson Turbo,,White,Benzine,1,2.5,Automatic,1500.0,Alexandria,1,1
Hyundai,Verna,,Silver,Benzine,17,2.5,Manual,201.0,Beni Suef,1,13
Fiat,Shahin,,Dark red,Benzine,0,2.5,Manual,60.0,Mansoura,1,28
Hyundai,Verna,,White,Benzine,15,2.5,Manual,125.0,Giza,1,11
Hyundai,Elantra HD,,Black,Benzine,11,2.5,Automatic,80.0,Cairo,1,6
Fiat,Siena,,Black,Benzine,23,2.5,Manual,60.0,Alexandria,1,22
Chevrolet,Optra,,Red,Benzine,17,2.5,Automatic,315.0,Cairo,1,6
Chevrolet,Optra,,Light grey,Benzine,3,2.5,Automatic,460.0,Nasr city,1,1
Fiat,Punto,,Black,Benzine,25,2.5,Manual,200.0,Cairo,1,13
Hyundai,Excel,,Dark red,Benzine,0,2.5,Manual,63.0,El Minya,1,29
Hyundai,Elantra AD,,Red,Benzine,10,2.5,Automatic,600.0,Sadat City,1,4
Chevrolet,Cruze,,Silver,Benzine,14,2.5,Automatic,220.0,Heliopolis,1,14
Fiat,Ritmo,,Brown,Benzine,0,2.5,Automatic,33.0,6 October,1,40
Fiat,128,,White,Benzine,0,2.5,Manual,25.0,Alexandria,1,35
Fiat,Tipo,,White,Benzine,2,2.5,Automatic,725.0,Tanta,1,1
Hyundai,I10,,Red,Benzine,7,2.5,Manual,275.0,Alexandria,1,12
Chevrolet,Aveo,,Silver,Benzine,16,2.5,Manual,150.0,Qalyubia,1,13
Chevrolet,Pickup,,Green,Benzine,0,2.5,Manual,120.0,Cairo,1,28
Chevrolet,Optra,,Light grey,Benzine,27,2.5,Automatic,260.0,Giza,1,13
Hyundai,Avante,,Silver,Benzine,19,2.5,Automatic,390.0,Shibin el Kom,1,16
Fiat,132,,Silver,Benzine,0,2.5,Manual,27.0,Tanta,1,47
Chevrolet,Lanos,,Red,Benzine,0,2.5,Manual,180.0,Kafr el-Sheikh,1,10
Hyundai,Elantra HD,,Gray,Benzine,14,2.5,Automatic,400.0,Shobra,1,4
Hyundai,Tucson,,Red,Benzine,6,2.5,Automatic,900.0,Maadi,1,4
Fiat,127,,Green,Benzine,0,2.5,Manual,35.0,Cairo,1,40
Fiat,128,,White,Benzine,0,2.5,Manual,27.0,Ashmoun,1,36
