Brand,Model,Body,Color,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new,Car Age
Hyundai,Accent,Sedan,Silver,Benzine,14,1.2,Manual,78.0,Qena,0,18
Hyundai,Accent,Sedan,Gray,Benzine,12,1.5,Manual,70.0,Giza,0,24
Hyundai,Accent,Sedan,Silver,Benzine,1,1.2,Manual,75.0,Giza,0,23
Hyundai,Accent,Sedan,Green,Benzine,15,1.2,Manual,57.0,Cairo,0,23
Hyundai,Accent,Sedan,Red,Benzine,9,1.5,Automatic,185.0,Minya,0,11
Hyundai,Accent,Sedan,Gold,Benzine,14,1.5,Manual,70.0,Giza,0,24
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,13,1.2,Manual,90.0,Alexandria,0,17
Hyundai,Accent,Sedan,Silver,Benzine,14,1.6,Automatic,200.0,Alexandria,0,8
Hyundai,Accent,Sedan,Silver,Benzine,12,1.5,Automatic,256.0,Cairo,0,6
Hyundai,Accent,Sedan,Black,Benzine,11,1.6,Automatic,185.0,Cairo,0,11
Hyundai,Accent,Sedan,Gray,Benzine,15,1.6,Manual,75.0,Alexandria,0,27
Hyundai,Accent,Sedan,Gold,Benzine,15,1.5,Manual,69.0,Kafr al-Sheikh,0,18
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,2,1.6,Manual,98.0,Alexandria,0,15
Hyundai,Accent,Sedan,Gray,Benzine,13,1.6,Manual,155.0,Alexandria,0,10
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,12,1.2,Manual,80.0,Cairo,0,18
Hyundai,Accent,Sedan,Gray,Benzine,15,1.6,Automatic,240.0,Cairo,0,9
Hyundai,Accent,Sedan,Silver,Benzine,10,1.6,Automatic,225.0,Cairo,0,7
Hyundai,Accent,Sedan,Gray,Benzine,9,1.6,Manual,155.0,Alexandria,0,11
Hyundai,Accent,Sedan,Gray,Benzine,9,1.5,Manual,148.0,Cairo,0,13
Hyundai,Accent,Sedan,Red,Benzine,15,1.6,Manual,135.0,Cairo,0,11
Hyundai,Accent,Sedan,Red,Benzine,15,1.5,Automatic,55.0,Alexandria,0,25
Hyundai,Accent,Sedan,Silver,Natural Gas,14,1.2,Manual,75.0,Giza,0,17
Hyundai,Accent,Sedan,Red,Benzine,15,1.2,Manual,58.0,Giza,0,24
Hyundai,Accent,Sedan,White,Benzine,0,1.6,Automatic,185.0,Cairo,0,8
Hyundai,Accent,Sedan,Black,Benzine,10,1.6,Automatic,160.0,Kafr al-Sheikh,0,11
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,15,1.6,Manual,135.0,Giza,0,12
Hyundai,Accent,Sedan,Gray,Benzine,1,1.6,Automatic,250.0,Cairo,0,4
Hyundai,Accent,Sedan,Other Color,Benzine,2,1.6,Manual,145.0,Alexandria,0,13
Hyundai,Accent,Sedan,Gray,Benzine,10,1.2,Manual,87.0,Cairo,0,17
Hyundai,Accent,Sedan,Burgundy,Benzine,14,1.6,Automatic,175.0,Cairo,0,11
Hyundai,Accent,Sedan,Other Color,Benzine,14,1.5,Manual,60.0,Cairo,0,25
Hyundai,Accent,Sedan,Red,Benzine,14,1.6,Automatic,150.0,Monufia,0,12
Hyundai,Accent,Sedan,Other Color,Benzine,1,1.5,Manual,76.0,Fayoum,0,21
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,1,1.5,Automatic,77.0,Kafr al-Sheikh,0,17
Hyundai,Accent,Sedan,Silver,Benzine,14,1.5,Manual,65.0,Suez,0,24
Hyundai,Accent,Sedan,Blue- Navy Blue,Benzine,2,1.2,Manual,65.0,Giza,0,22
Hyundai,Accent,Sedan,Silver,Benzine,8,1.6,Automatic,210.0,Cairo,0,11
