Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Trasmission,Price,Gov,new
Hyundai,Accent,Sedan,Black,2007.0,Benzine,140000 to 159999,1600 CC,Automatic,140.0,Giza,0
Hyundai,Accent,Sedan,Silver,2005.0,Benzine,180000 to 199999,1000 - 1300 CC,Manual,78.0,Qena,0
Hyundai,Accent,Sedan,Gray,1999.0,Benzine,140000 to 159999,1400 - 1500 CC,Manual,70.0,Giza,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2009.0,Benzine,140000 to 159999,1600 CC,Automatic,150.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2000.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,75.0,Giza,0
Hyundai,Accent,Sedan,Green,2000.0,Benzine,More than 200000,1000 - 1300 CC,Manual,57.0,Cairo,0
Hyundai,Accent,Sedan,Red,2012.0,Benzine,90000 to 99999,1400 - 1500 CC,Automatic,185.0,Minya,0
Hyundai,Accent,Sedan,Gold,1999.0,Benzine,180000 to 199999,1400 - 1500 CC,Manual,70.0,Giza,0
Hyundai,Accent,Sedan,Red,2010.0,Benzine,100000 to 119999,1600 CC,Automatic,185.0,Cairo,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2006.0,Benzine,160000 to 179999,1000 - 1300 CC,Manual,90.0,Alexandria,0
Hyundai,Accent,Sedan,Silver,2005.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,80.0,Dakahlia,0
Hyundai,Accent,Sedan,Silver,2015.0,Benzine,180000 to 199999,1600 CC,Automatic,200.0,Alexandria,0
Hyundai,Accent,Sedan,Gold,2012.0,Benzine,120000 to 139999,1600 CC,Automatic,165.0,Giza,0
Hyundai,Accent,Sedan,Silver,2017.0,Benzine,140000 to 159999,1400 - 1500 CC,Automatic,256.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,2001.0,Benzine,More than 200000,1000 - 1300 CC,Manual,67.0,Suez,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,100000 to 119999,1600 CC,Manual,165.0,Sharqia,0
Hyundai,Accent,Sedan,Black,2012.0,Benzine,120000 to 139999,1600 CC,Automatic,185.0,Cairo,0
Hyundai,Accent,Sedan,Black,2010.0,Benzine,0 to 9999,1600 CC,Automatic,175.0,Sharqia,0
Hyundai,Accent,Sedan,Gray,1996.0,Benzine,More than 200000,1600 CC,Manual,75.0,Alexandria,0
Hyundai,Accent,Sedan,Silver,2008.0,Benzine,More than 200000,1400 - 1500 CC,Manual,130.0,Minya,0
Hyundai,Accent,Sedan,Red,2020.0,Benzine,20000 to 29999,1600 CC,Automatic,320.0,Cairo,0
Hyundai,Accent,Sedan,Gold,2005.0,Benzine,More than 200000,1400 - 1500 CC,Manual,69.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2008.0,Benzine,20000 to 29999,1600 CC,Manual,98.0,Alexandria,0
Hyundai,Accent,Sedan,Other Color,1999.0,Benzine,100000 to 119999,1000 - 1300 CC,Manual,82.0,Minya,0
Hyundai,Accent,Sedan,Gray,2013.0,Benzine,160000 to 179999,1600 CC,Manual,155.0,Alexandria,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2005.0,Benzine,140000 to 159999,1000 - 1300 CC,Manual,80.0,Cairo,0
Hyundai,Accent,Sedan,Green,1999.0,Benzine,160000 to 179999,1000 - 1300 CC,Manual,64.0,Cairo,0
Hyundai,Accent,Sedan,Gold,2011.0,Benzine,30000 to 39999,1600 CC,Automatic,155.0,Alexandria,0
Hyundai,Accent,Sedan,Silver,2015.0,Benzine,80000 to 89999,1600 CC,Automatic,215.0,Cairo,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,0 to 9999,1400 - 1500 CC,Automatic,160.0,Beheira,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2000.0,Benzine,More than 200000,1400 - 1500 CC,Automatic,82.0,Alexandria,0
Hyundai,Accent,Sedan,Other Color,2019.0,Benzine,60000 to 69999,1600 CC,Automatic,285.0,Cairo,0
Hyundai,Accent,Sedan,Burgundy,2001.0,Benzine,100000 to 119999,1400 - 1500 CC,Manual,75.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2000.0,Benzine,180000 to 199999,1400 - 1500 CC,Manual,65.0,Giza,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2006.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,85.0,Ismailia,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,10000 to 19999,1600 CC,Manual,145.0,Giza,0
Hyundai,Accent,Sedan,Gold,2013.0,Benzine,70000 to 79999,1600 CC,Automatic,200.0,Alexandria,0
Hyundai,Accent,Sedan,Burgundy,2000.0,Benzine,100000 to 119999,1400 - 1500 CC,Manual,72.0,Alexandria,0
Hyundai,Accent,Sedan,Gray,2014.0,Benzine,More than 200000,1600 CC,Automatic,240.0,Cairo,0
Hyundai,Accent,Sedan,Black,2020.0,Benzine,40000 to 49999,1600 CC,Automatic,270.0,Giza,0
Hyundai,Accent,Sedan,Silver,2016.0,Benzine,100000 to 119999,1600 CC,Automatic,225.0,Cairo,0
Hyundai,Accent,Sedan,Gold,2000.0,Benzine,180000 to 199999,1400 - 1500 CC,Manual,95.0,Cairo,0
Hyundai,Accent,Sedan,Gray,1999.0,Benzine,10000 to 19999,1000 - 1300 CC,Manual,42.0,Cairo,0
Hyundai,Accent,Sedan,Black,2010.0,Benzine,180000 to 199999,1600 CC,Manual,155.0,Cairo,0
Hyundai,Accent,Sedan,Gray,2012.0,Benzine,90000 to 99999,1600 CC,Manual,155.0,Alexandria,0
Hyundai,Accent,Sedan,Silver,2022.0,Benzine,0 to 9999,1600 CC,Automatic,305.0,Suez,0
Hyundai,Accent,Sedan,Red,2017.0,Benzine,140000 to 159999,1600 CC,Automatic,235.0,Cairo,0
Hyundai,Accent,Sedan,Black,2011.0,Benzine,10000 to 19999,1600 CC,Manual,165.0,Sharqia,0
Hyundai,Accent,Sedan,Silver,2007.0,Benzine,120000 to 139999,1400 - 1500 CC,Manual,95.0,Sohag,0
Hyundai,Accent,Sedan,Gray,2010.0,Benzine,90000 to 99999,1400 - 1500 CC,Manual,148.0,Cairo,0
Hyundai,Accent,Sedan,Black,2012.0,Benzine,100000 to 119999,1600 CC,Manual,159.0,Alexandria,0
Hyundai,Accent,Sedan,Silver,2006.0,Benzine,160000 to 179999,1000 - 1300 CC,Manual,74.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,Red,2012.0,Benzine,More than 200000,1600 CC,Manual,135.0,Cairo,0
Hyundai,Accent,Sedan,Red,1998.0,Benzine,More than 200000,1400 - 1500 CC,Automatic,55.0,Alexandria,0
Hyundai,Accent,Sedan,Silver,2006.0,Natural Gas,180000 to 199999,1000 - 1300 CC,Manual,75.0,Giza,0
Hyundai,Accent,Sedan,Red,1999.0,Benzine,More than 200000,1000 - 1300 CC,Manual,58.0,Giza,0
Hyundai,Accent,Sedan,Green,2001.0,Benzine,70000 to 79999,1400 - 1500 CC,Manual,65.0,Cairo,0
Hyundai,Accent,Sedan,Black,2010.0,Benzine,More than 200000,1400 - 1500 CC,Manual,125.0,Giza,0
Hyundai,Accent,Sedan,White,2005.0,Natural Gas,More than 200000,1400 - 1500 CC,Manual,58.0,Suez,0
Hyundai,Accent,Sedan,Burgundy,2007.0,Benzine,More than 200000,1600 CC,Manual,125.0,Giza,0
Hyundai,Accent,Sedan,White,2015.0,Benzine,0 to 9999,1600 CC,Automatic,185.0,Cairo,0
Hyundai,Accent,Sedan,Silver,1999.0,Benzine,More than 200000,1400 - 1500 CC,Automatic,85.0,Monufia,0
Hyundai,Accent,Sedan,Black,2012.0,Benzine,100000 to 119999,1600 CC,Automatic,160.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,White,1996.0,Benzine,180000 to 199999,1000 - 1300 CC,Manual,55.0,Qalyubia,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2011.0,Benzine,More than 200000,1600 CC,Manual,135.0,Giza,0
Hyundai,Accent,Sedan,Silver,2011.0,Benzine,120000 to 139999,1600 CC,Automatic,175.0,Beni Suef,0
Hyundai,Accent,Sedan,Blue- Navy Blue,1998.0,Benzine,140000 to 159999,1400 - 1500 CC,Manual,64.0,Qalyubia,0
Hyundai,Accent,Sedan,Gray,2019.0,Benzine,10000 to 19999,1600 CC,Automatic,250.0,Cairo,0
Hyundai,Accent,Sedan,Green,1998.0,Benzine,180000 to 199999,1000 - 1300 CC,Manual,83.0,Asyut,0
Hyundai,Accent,Sedan,Other Color,2006.0,Benzine,20000 to 29999,1000 - 1300 CC,Manual,65.0,Suez,0
Hyundai,Accent,Sedan,White,2017.0,Benzine,160000 to 179999,1600 CC,Automatic,225.0,Sharqia,0
Hyundai,Accent,Sedan,Other Color,2010.0,Benzine,20000 to 29999,1600 CC,Manual,145.0,Alexandria,0
Hyundai,Accent,Sedan,Gray,2006.0,Benzine,100000 to 119999,1000 - 1300 CC,Manual,87.0,Cairo,0
Hyundai,Accent,Sedan,Black,2017.0,Benzine,100000 to 119999,1400 - 1500 CC,Automatic,227.0,Alexandria,0
Hyundai,Accent,Sedan,Burgundy,2012.0,Benzine,180000 to 199999,1600 CC,Automatic,175.0,Cairo,0
Hyundai,Accent,Sedan,Other Color,1998.0,Benzine,180000 to 199999,1400 - 1500 CC,Manual,60.0,Cairo,0
Hyundai,Accent,Sedan,White,2000.0,Benzine,10000 to 19999,1400 - 1500 CC,Automatic,90.0,Dakahlia,0
Hyundai,Accent,Sedan,Red,2011.0,Benzine,180000 to 199999,1600 CC,Automatic,150.0,Monufia,0
Hyundai,Accent,Sedan,Other Color,2002.0,Benzine,10000 to 19999,1400 - 1500 CC,Manual,76.0,Fayoum,0
Hyundai,Accent,Sedan,Green,2000.0,Benzine,10000 to 19999,1400 - 1500 CC,Manual,85.0,Monufia,0
Hyundai,Accent,Sedan,Green,1998.0,Benzine,20000 to 29999,1400 - 1500 CC,Manual,69.0,Ismailia,0
Hyundai,Accent,Sedan,Red,2000.0,Benzine,More than 200000,1400 - 1500 CC,Manual,73.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,Blue- Navy Blue,2006.0,Benzine,10000 to 19999,1400 - 1500 CC,Automatic,77.0,Kafr al-Sheikh,0
Hyundai,Accent,Sedan,Red,2000.0,Benzine,160000 to 179999,1400 - 1500 CC,Manual,77.0,Giza,0
Hyundai,Accent,Sedan,Silver,2001.0,Benzine,More than 200000,1000 - 1300 CC,Manual,64.0,Cairo,0
Hyundai,Accent,Sedan,Silver,2000.0,Benzine,More than 200000,1400 - 1500 CC,Manual,65.0,Qalyubia,0
