Brand,Model,Color,Year,Fuel,Kilometers,Trasmission,Price,Gov
BMW,525,Black,2001,gas,"255,000 Km",automatic,"380,000 EGP",Heliopolis
Opel,Astra,Bronze,2015,gas,"130,000 Km",automatic,"480,000 EGP",Cairo
Chevrolet,Optra,Dark blue,2022,gas,"50,000 Km",automatic,"460,000 EGP",Cairo
Mitsubishi,Lancer Puma,Black,2009,gas,"165,000 Km",automatic,"295,000 EGP",Alexandria
Mercedes,E 320,Cyan,2004,gas,"300,000 Km",automatic,"580,000 EGP",Nasr city
Opel,Astra,Silver,2008,gas,"190,000 Km",automatic,"290,000 EGP",El Haram
Mitsubishi,Lancer EX Shark,Silver,2018,gas,"129,000 Km",automatic,"470,000 EGP",Cairo
Honda,City,Silver,2009,gas,"150,000 Km",automatic,"295,000 EGP",6 October
MG,6,Silver,2019,gas,"56,000 Km",automatic,"630,000 EGP",6 October
Nissan,Sunny,Dark red,2021,gas,"51,000 Km",automatic,"399,000 EGP",Agamy
MG,5,Red,2021,gas,"57,000 Km",automatic,"550,000 EGP",El Mahalla
Mazda,121,Green,1997,gas,"120,000 Km",manual,"60,000 EGP",Hurghada
Skoda,Felicia,White,1995,gas,"240,000 Km",manual,"45,000 EGP",Alexandria
MG,6,Gray,2022,gas,"3,000 Km",automatic,"855,000 EGP",El Mahalla
Chery,Tiggo 8,White,2021,gas,"7,600 Km",automatic,"900,000 EGP",Cairo
Hyundai,Elantra,Black,2015,gas,"140,000 Km",automatic,"450,000 EGP",Alexandria
Mazda,323,Dark blue,1997,gas,0 Km,manual,"75,000 EGP",6 October
Chery,Tiggo 3,Silver,2020,gas,"31,000 Km",automatic,"490,000 EGP",Beheira
Lada,Oka,Champagne,2002,gas,"90,000 Km",manual,"40,000 EGP",Cairo
Mercedes,B 150,Silver,2007,gas,"175,000 Km",automatic,"380,000 EGP",Alexandria
Kia,Carens,Silver,2011,gas,"400,000 Km",manual,"370,000 EGP",Cairo
Daewoo,Nubira 2,Black,2001,gas,"260,000 Km",automatic,"136,000 EGP",El Haram
Chevrolet,Cruze,Black,2010,gas,"240,000 Km",automatic,"330,000 EGP",Hurghada
Fiat,Punto,Black,2009,gas,"173,000 Km",manual,"130,000 EGP",Damietta
Daihatsu,Kancil,White,2001,gas,"150,000 Km",automatic,"105,000 EGP",Heliopolis
Seat,133,White,1994,gas,0 Km,manual,"45,000 EGP",Ain Shams
Hyundai,Creta,White,2016,gas,"80,000 Km",automatic,"670,000 EGP",Damietta
MG,5,Blue,2021,gas,"37,000 Km",automatic,"460,000 EGP",Obour City
Speranza,A516,Black,2007,gas,"150,000 Km",manual,"125,000 EGP",Maadi
Chevrolet,Spark,Red,2012,gas,"200,000 Km",manual,"138,000 EGP",Ashmoun
MG,6,Black,2022,gas,"19,000 Km",automatic,"620,000 EGP",Cairo
Hyundai,Elantra HD,Mocha,2021,gas,"47,000 Km",automatic,"395,000 EGP",Saft El Laban
Kia,Sportage,Petroleum,2023,gas,0 Km,automatic,"1,750,000 EGP",Nasr city
Chevrolet,T-Series,Red,2012,diesel,0 Km,manual,"310,000 EGP",Borg el arab
Hyundai,Elantra MD,Silver,2016,gas,"135,000 Km",automatic,"540,000 EGP",Giza
Nissan,Qashqai,Light grey,2019,gas,"130,000 Km",automatic,"700,000 EGP",Nasr city
Volkswagen,Beetle,Blue,1964,gas,"100,000 Km",manual,"18,000 EGP",Cairo
Speranza,Envy,Red,2019,gas,"95,000 Km",automatic,"220,000 EGP",Sheikh Zayed City
Nissan,Qashqai,Red,2014,gas,"106,000 Km",automatic,"450,000 EGP",6 October
Nissan,Sunny,Black,2019,gas,"150,000 Km",automatic,"335,000 EGP",Giza
Opel,Astra,Brown,2013,gas,"150,000 Km",automatic,"420,000 EGP",El Bagour
Kia,Picanto,Cyan,2008,gas,"85,000 Km",manual,"220,000 EGP",Mokattam
Nissan,Sunny,Brown,2020,gas,"128,000 Km",automatic,"360,000 EGP",Beni Suef
Jac,J7,Black,2022,gas,"11,000 Km",automatic,"625,000 EGP",Maadi
Brilliance,Jinbei,Dark red,2014,gas,"95,000 Km",manual,"160,000 EGP",Cairo
Fiat,Tipo,Dark blue,2022,gas,"20,000 Km",automatic,"650,000 EGP",Madinaty
Hyundai,IX 35,Silver,2015,gas,"100,000 Km",automatic,"670,000 EGP",Sheikh Zayed City
Opel,Mokka,Black,2016,gas,"35,000 Km",automatic,"550,000 EGP",Cairo
Seat,Ibiza,Red,2020,gas,"125,000 Km",automatic,"700,000 EGP",6 October
BMW,318,Silver,2016,gas,"148,000 Km",automatic,"920,000 EGP",Tagamo3 - New Cairo
